name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Eclipse ADAAA (Adaptive Cruise Control Demo Application for Adaptive AUTOSAR),,https://projects.eclipse.org/projects/automotive.adaaa,logos/659e2f70be525eba2aab44801cf938957fba27e876a66937af6956f883dcbd24.png,,,,,Archived,,,,"ADAAA is example application for Adaptive AUTOSAR with the following goals:
* Provide a tutorial with simple examples code base for getting involved with AUTOSAR methodology and each functional...",,,,,,,,,,,,Example Applications,Example Applications,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Ambient Light Services,,https://projects.eclipse.org/projects/automotive.ambientlight,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"The Eclipse Ambient Light Services showcase vizualizes possible new lighting concepts which are adaptive to different specific driving scenarios, like e.g. coming and leaving but also further options...",,,,,,,,,,,,Example Applications,Example Applications,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Ankaios,,https://projects.eclipse.org/projects/automotive.ankaios,logos/59967f26cdd2c6c78898999eb28d82db8394d22580335d53a467236abecac6ad.png,,,,,Incubating,,,,"Eclipse Ankaios manages multiple nodes and virtual machines with a single unique API in order to start, stop, configure, and update containers and workloads. It provides a central place to manage...",,,,,,,,,,,,Runtime and Orchestration,Workload & Container Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse ArchE,,https://projects.eclipse.org/projects/automotive.arche,logos/9bc15ce9cdf3d9cbbafd846257169d526abc4d96e75ac7c0c45cdd036be1993d.png,,,,,Incubating,,,,Eclipse ArchE (Architecture Enabler) provides a tool for Architecture Modeling following an holistic Model-Based-Systems-Engineering (MBSE) approach instead of having a heterogeneous environment of...,,,,,,,,,,,,Tooling Devops,Design,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Automotive API Framework,,https://projects.eclipse.org/projects/automotive.autoapiframework,logos/47d5b8302afff5fd05c429e32bc989d8151da028f02eb30075b3462d68267af0.png,,,,,Incubating,,,,Decoupling of the application logic from the basic software stack enables automotive suppliers (no matter if Tier-1 or in-house teams at an OEM) to contribute with building blocks to Software-defined...,,,,,,,,,,,,Distributions and Frameworks,Distributions,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Automotive Integration for AutoSD,,https://projects.eclipse.org/projects/automotive.autosd,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"Eclipse Automotive Integration for AutoSD uses an AutoSD image, built and tailored for its community, to run and test both Eclipse SDV projects and blueprints.
Eclipse Automotive Integration for...",,,,,,,,,,,,Distributions and Frameworks,Distributions,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Autowrx,,https://projects.eclipse.org/projects/automotive.autowrx,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"Eclipse Autowrx is the open source implementation of digital.auto (http://digital.auto), an industry-wide initiative enabling the automotive industry to establish a new, digital-first approach for the...",,,,,,,,,,,,Tooling Devops,Development,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Backend function Bindings (BfB),,https://projects.eclipse.org/projects/automotive.bfb,logos/659e2f70be525eba2aab44801cf938957fba27e876a66937af6956f883dcbd24.png,,,,,Archived,,,,"The Eclipse BfB project provides a protocol and technology agnostic interface specification in the ecosystem of mobility and automotive applications.
The Eclipse BfB specification is maintained in a...",,,,,,,,,,,,Unmapped,Misc,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse BlueChi™,,https://projects.eclipse.org/projects/automotive.bluechi,logos/4feb8479d22c1b395bb9d9100918ddbc3518ce54859d1b8f86c7aa4ad095d2e2.png,,,,,Regular,,,,Eclipse BlueChi™ is a deterministic multi-node service controller with a focus on highly regulated ecosystems. It is written in C and integrates seamless with systemd via its D-Bus API relaying D-Bus...,,,,,,,,,,,,Runtime and Orchestration,Workload & Container Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse CANought,,https://projects.eclipse.org/projects/iot.kanto.canought,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,Eclipse CANought offers the automotive-specific capabilities to enhance the Eclipse Kanto project to offer a comprehensive solution focused on the automotive industry. Eclipse CANought provides...,,,,,,,,,,,,Service Fabric and Communication,Communication Protocols,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Chariott,,https://projects.eclipse.org/projects/automotive.chariott,logos/e0c42b6c6fdd4dabb16c5543c80f0375cadb2e2e6dbc1f367fe42c300092f548.jpg,,,,,Incubating,,,,The Eclipse Chariott project aims to simplify and enhance in-vehicle software developer productivity by providing a metadata-driven middleware/abstraction layer that allows modern application...,,,,,,,,,,,,Service Fabric and Communication,Middleware & Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse eCAL (enhanced Communication Abstraction Layer),,https://projects.eclipse.org/projects/automotive.ecal,logos/70cdb05cfc52346f38325c450aed9c99420c632ca7a1e748bd8897e961f03639.png,,,,,Incubating,,,,"Eclipse eCAL™ (enhanced Communication Abstraction Layer) provides a middleware that enables scalable, high performance interprocess communication on a single computer node or between different nodes...",,,,,,,,,,,,Service Fabric and Communication,Middleware & Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Eclipse Heimlig,,https://projects.eclipse.org/projects/automotive.heimlig,logos/14738f70197e197d29160180e7340a4d992966689c34c71d272d812d336b7024.png,,,,,Incubating,,,,"Eclipse Heimlig is a Hardware Security Module (HSM) firmware for embedded platforms written in Rust.
As an HSM, Eclipse Heimlig typically runs on dedicated hardware and provides cryptographic services...",,,,,,,,,,,,Service Fabric and Communication,Middleware & Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
